personalOcupado,fecha,variacionAnual,filtro
12652,12/2016,3.09,barcelona
12742,11/2016,1.07,barcelona
13856,10/2016,7.06,barcelona
13856,09/2016,10.43,barcelona
13679,08/2016,3.61,barcelona
13537,07/2016,1.56,barcelona
12914,06/2016,-2.42,barcelona
12935,05/2016,1.75,barcelona
12853,04/2016,4.15,barcelona
12455,03/2016,3.86,barcelona
12018,02/2016,1.60,barcelona
11928,01/2016,-3.28,barcelona
12273,12/2015,-1.43,barcelona
12607,11/2015,7.46,barcelona
12942,10/2015,4.69,barcelona
12547,09/2015,0.49,barcelona
13202,08/2015,3.99,barcelona
13329,07/2015,5.90,barcelona
13234,06/2015,8.86,barcelona
12713,05/2015,4.90,barcelona
12341,04/2015,3.51,barcelona
11992,03/2015,0.49,barcelona
11829,02/2015,3.00,barcelona
12333,01/2015,4.87,barcelona
12451,12/2014,4.54,barcelona
11732,11/2014,-1.16,barcelona
12362,10/2014,2.57,barcelona
12486,09/2014,4.38,barcelona
12695,08/2014,9.12,barcelona
12586,07/2014,6.01,barcelona
12157,06/2014,-1.03,barcelona
12119,05/2014,2.65,barcelona
11923,04/2014,1.85,barcelona
11933,03/2014,4.05,barcelona
11485,02/2014,0.28,barcelona
11760,01/2014,4.53,barcelona
11910,12/2013,2.32,barcelona
11870,11/2013,3.43,barcelona
12052,10/2013,0.51,barcelona
11962,09/2013,-1.16,barcelona
11634,08/2013,-3.60,barcelona
11872,07/2013,0.05,barcelona
12283,06/2013,1.62,barcelona
11806,05/2013,-1.76,barcelona
11706,04/2013,0.00,barcelona
11469,03/2013,-4.65,barcelona
11453,02/2013,0.03,barcelona
11250,01/2013,0.00,barcelona
11640,12/2012,4.93,barcelona
11476,11/2012,1.10,barcelona
11991,10/2012,2.64,barcelona
12102,09/2012,-0.45,barcelona
12068,08/2012,2.20,barcelona
11866,07/2012,-1.71,barcelona
12087,06/2012,1.86,barcelona
12018,05/2012,4.51,barcelona
11706,04/2012,3.88,barcelona
12028,03/2012,10.23,barcelona
11450,02/2012,2.45,barcelona
11250,01/2012,6.19,barcelona
11093,12/2011,-0.23,barcelona
11351,11/2011,1.49,barcelona
11683,10/2011,3.65,barcelona
12157,09/2011,5.88,barcelona
11808,08/2011,6.70,barcelona
12072,07/2011,6.09,barcelona
11866,06/2011,2.73,barcelona
11499,05/2011,-0.08,barcelona
11269,04/2011,0.83,barcelona
10912,03/2011,-1.81,barcelona
11176,02/2011,1.41,barcelona
10594,01/2011,0.66,barcelona
11119,12/2010,8.85,barcelona
11184,11/2010,20.04,barcelona
11272,10/2010,19.47,barcelona
11482,09/2010,17.97,barcelona
11067,08/2010,19.27,barcelona
11379,07/2010,20.21,barcelona
11551,06/2010,24.36,barcelona
11508,05/2010,21.18,barcelona
11176,04/2010,17.62,barcelona
11113,03/2010,21.71,barcelona
11021,02/2010,21.75,barcelona
10525,01/2010,17.02,barcelona
10215,12/2009,8.07,barcelona
9317,11/2009,-3.76,barcelona
9435,10/2009,-4.60,barcelona
9733,09/2009,-0.71,barcelona
9279,08/2009,-5.22,barcelona
9466,07/2009,-5.31,barcelona
9288,06/2009,-7.02,barcelona
9497,05/2009,-2.26,barcelona
9502,04/2009,-2.22,barcelona
9131,03/2009,-3.88,barcelona
9052,02/2009,-4.28,barcelona
8994,01/2009,-6.41,barcelona
9452,12/2008,0.57,barcelona
9681,11/2008,0.31,barcelona
9890,10/2008,3.28,barcelona
9803,09/2008,2.23,barcelona
9790,08/2008,1.39,barcelona
9997,07/2008,2.81,barcelona
9989,06/2008,3.79,barcelona
9717,05/2008,2.52,barcelona
9718,04/2008,2.28,barcelona
9500,03/2008,0.97,barcelona
9457,02/2008,-1.08,barcelona
9610,01/2008,2.81,barcelona
9398,12/2007,0.10,barcelona
9651,11/2007,2.63,barcelona
9576,10/2007,0.94,barcelona
9589,09/2007,0.31,barcelona
9656,08/2007,1.97,barcelona
9724,07/2007,3.34,barcelona
9624,06/2007,0.92,barcelona
9478,05/2007,0.51,barcelona
9501,04/2007,1.78,barcelona
9409,03/2007,1.86,barcelona
9560,02/2007,3.50,barcelona
9347,01/2007,2.94,barcelona
9389,12/2006,,barcelona
9404,11/2006,,barcelona
9487,10/2006,,barcelona
9559,09/2006,,barcelona
9469,08/2006,,barcelona
9410,07/2006,,barcelona
9536,06/2006,,barcelona
9430,05/2006,,barcelona
9335,04/2006,,barcelona
9237,03/2006,,barcelona
9237,02/2006,,barcelona
9080,01/2006,,barcelona