precioHotel,fecha,variacionAnual,filtro
111,12/2016,8.82,barcelona
114,11/2016,0.88,barcelona
171,10/2016,5.56,barcelona
168,09/2016,4.35,barcelona
158,08/2016,6.76,barcelona
159,07/2016,6.71,barcelona
162,06/2016,8.72,barcelona
167,05/2016,7.74,barcelona
160,04/2016,16.79,barcelona
123,03/2016,6.03,barcelona
110,02/2016,26.44,barcelona
96,01/2016,14.29,barcelona
102,12/2015,2.00,barcelona
113,11/2015,6.60,barcelona
162,10/2015,9.46,barcelona
161,09/2015,0.00,barcelona
148,08/2015,-1.99,barcelona
149,07/2015,7.19,barcelona
149,06/2015,4.20,barcelona
155,05/2015,-2.52,barcelona
137,04/2015,2.24,barcelona
116,03/2015,2.65,barcelona
87,02/2015,-27.50,barcelona
84,01/2015,-8.70,barcelona
100,12/2014,0.00,barcelona
106,11/2014,-0.93,barcelona
148,10/2014,0.00,barcelona
161,09/2014,-7.47,barcelona
151,08/2014,17.97,barcelona
139,07/2014,3.73,barcelona
143,06/2014,-2.05,barcelona
159,05/2014,1.27,barcelona
134,04/2014,3.88,barcelona
113,03/2014,0.00,barcelona
120,02/2014,1.69,barcelona
92,01/2014,0.00,barcelona
100,12/2013,-0.99,barcelona
107,11/2013,-5.31,barcelona
148,10/2013,-0.67,barcelona
174,09/2013,16.00,barcelona
128,08/2013,0.79,barcelona
134,07/2013,0.75,barcelona
146,06/2013,0.69,barcelona
157,05/2013,-1.26,barcelona
129,04/2013,-17.31,barcelona
113,03/2013,-8.87,barcelona
118,02/2013,-3.28,barcelona
92,01/2013,-4.17,barcelona
101,12/2012,-1.94,barcelona
113,11/2012,-2.59,barcelona
149,10/2012,1.36,barcelona
150,09/2012,-16.20,barcelona
127,08/2012,5.83,barcelona
133,07/2012,4.72,barcelona
145,06/2012,3.57,barcelona
159,05/2012,2.58,barcelona
156,04/2012,16.42,barcelona
124,03/2012,10.71,barcelona
122,02/2012,6.09,barcelona
96,01/2012,-1.03,barcelona
103,12/2011,-7.21,barcelona
116,11/2011,-11.45,barcelona
147,10/2011,4.26,barcelona
179,09/2011,40.94,barcelona
120,08/2011,-4.76,barcelona
127,07/2011,-6.62,barcelona
140,06/2011,0.00,barcelona
155,05/2011,-14.36,barcelona
134,04/2011,-6.94,barcelona
112,03/2011,2.75,barcelona
115,02/2011,12.75,barcelona
97,01/2011,7.78,barcelona
111,12/2010,15.63,barcelona
131,11/2010,23.58,barcelona
141,10/2010,12.80,barcelona
127,09/2010,4.10,barcelona
126,08/2010,18.87,barcelona
136,07/2010,23.64,barcelona
140,06/2010,17.65,barcelona
181,05/2010,39.23,barcelona
144,04/2010,26.32,barcelona
109,03/2010,4.81,barcelona
102,02/2010,-10.53,barcelona
90,01/2010,-18.92,barcelona
96,12/2009,,barcelona
106,11/2009,,barcelona
125,10/2009,,barcelona
122,09/2009,,barcelona
106,08/2009,,barcelona
110,07/2009,,barcelona
119,06/2009,,barcelona
130,05/2009,,barcelona
114,04/2009,,barcelona
104,03/2009,,barcelona
114,02/2009,,barcelona
111,01/2009,,barcelona